City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Saint-Georges,12.0564,-61.7485,76.68,88,40,12.66,scattered clouds
311,Viytivka,48.426,29.5429,33.26,83,54,6.42,broken clouds
312,Vyartsilya,62.1764,30.693,20.03,94,99,5.32,overcast clouds
313,Daru,-9.0763,143.2092,80.92,83,99,5.95,overcast clouds
314,Deer Lake,49.1667,-57.4316,26.46,80,75,6.91,broken clouds
315,Polunochnoye,60.8697,60.4153,5.68,95,34,4.56,scattered clouds
316,Mount Gambier,-37.8333,140.7667,67.14,66,97,6.13,overcast clouds
317,Jieshi,22.8134,115.8257,63.48,85,5,8.88,clear sky
318,Imeni Poliny Osipenko,52.4201,136.4853,-15.32,96,100,7.05,overcast clouds
319,Plettenberg Bay,-34.0527,23.3716,66.87,92,7,3.09,clear sky
320,Kiama,-34.6833,150.8667,72.0,80,99,8.14,overcast clouds
321,Goshen,41.5823,-85.8344,33.49,90,100,5.68,light snow
322,Marystown,47.1666,-55.1483,26.8,78,16,9.82,few clouds
323,Churapcha,62.0025,132.4325,-59.22,100,100,1.61,overcast clouds
324,Tilichiki,60.4667,166.1,15.39,65,100,30.29,overcast clouds
325,Tautira,-17.7333,-149.15,77.9,70,100,5.48,light rain
326,Hachinohe,40.5,141.5,25.86,74,57,2.73,broken clouds
327,Mpika,-11.8343,31.4529,60.64,98,100,6.04,light rain
328,Ibra,22.6906,58.5334,58.19,64,39,3.94,scattered clouds
329,Vuktyl,63.8567,57.3094,10.27,97,99,4.27,overcast clouds
330,Pokaran,26.9167,71.9167,53.44,67,1,9.84,clear sky
331,Katobu,-4.9408,122.5276,76.59,90,99,2.46,overcast clouds
332,Severo-Yeniseyskiy,60.3725,93.0408,-14.06,97,100,5.93,light snow
333,Dalby,-27.1833,151.2667,76.59,56,70,6.31,broken clouds
334,Kasamwa,-2.85,32.4333,63.59,78,98,2.82,overcast clouds
335,Jiexiu,37.0244,111.9125,22.17,32,100,10.18,overcast clouds
336,Zyryanskoye,56.8306,86.6258,5.45,95,100,13.11,snow
337,Gat,31.61,34.7642,63.39,78,11,1.72,few clouds
338,Cairns,-16.9167,145.7667,85.1,74,40,5.75,scattered clouds
339,Koumac,-20.5667,164.2833,82.8,73,98,4.5,overcast clouds
340,Harrismith,-28.2728,29.1295,55.08,90,5,5.26,clear sky
341,Puerto Escondido,15.85,-97.0667,85.03,65,0,6.91,clear sky
342,Calolziocorte,45.7954,9.4377,38.8,76,70,1.99,broken clouds
343,Malkangiri,18.35,81.9,61.27,68,69,2.21,broken clouds
344,Malpe,13.35,74.7167,74.5,69,57,4.14,broken clouds
345,Markapur,15.7333,79.2833,65.97,92,30,1.12,scattered clouds
346,Vostochnyy,55.8167,37.8667,26.87,96,99,4.25,overcast clouds
347,Jeremie,18.65,-74.1167,76.05,72,42,2.24,scattered clouds
348,Vestmannaeyjar,63.4427,-20.2734,37.11,53,98,22.77,overcast clouds
349,Coihaique,-45.5752,-72.0662,67.95,40,40,10.36,scattered clouds
350,Haines Junction,60.7522,-137.5108,28.44,94,100,4.56,overcast clouds
351,Ingham,42.6,-84.3833,32.18,88,100,3.44,overcast clouds
352,Dauphin,51.1494,-100.0502,34.23,85,100,12.93,overcast clouds
353,Chuy,-33.6971,-53.4616,70.84,73,23,7.27,few clouds
354,Lata,40.1629,-8.3327,42.08,74,4,4.29,clear sky
355,Sohag,26.557,31.6948,54.5,49,65,6.93,broken clouds
356,Saldanha,-33.0117,17.9442,62.65,89,0,13.94,clear sky
357,Leicester,52.6386,-1.1317,35.87,84,91,4.74,overcast clouds
358,Flin Flon,54.7682,-101.865,30.04,100,100,6.91,mist
359,Ancud,-41.8697,-73.8203,62.01,74,11,6.35,few clouds
